Location,Household Type,TimeFrame,DataFormat,Data,Fips
New York City,All Households,2005,Dollars,56998.60927,3651000
New York City,Families,2005,Dollars,64793.69467,3651000
New York City,Families with Children,2005,Dollars,55448.77832,3651000
New York City,Families without Children,2005,Dollars,72309.25932,3651000
New York City,All Households,2006,Dollars,59080.75625,3651000
New York City,Families,2006,Dollars,65881.1445,3651000
New York City,Families with Children,2006,Dollars,58070.23126,3651000
New York City,Families without Children,2006,Dollars,73271.32343,3651000
New York City,All Households,2007,Dollars,60110.21504,3651000
New York City,Families,2007,Dollars,65351.05548,3651000
New York City,Families with Children,2007,Dollars,58377.27676,3651000
New York City,Families without Children,2007,Dollars,72073.91661,3651000
New York City,All Households,2008,Dollars,60844.68543,3651000
New York City,Families,2008,Dollars,67315.29561,3651000
New York City,Families with Children,2008,Dollars,59710.30509,3651000
New York City,Families without Children,2008,Dollars,74029.92254,3651000
New York City,All Households,2009,Dollars,59763.4026,3651000
New York City,Families,2009,Dollars,66955.36485,3651000
New York City,Families with Children,2009,Dollars,58780.34581,3651000
New York City,Families without Children,2009,Dollars,73894.0974,3651000
New York City,All Households,2010,Dollars,57277.58895,3651000
New York City,Families,2010,Dollars,62976.79307,3651000
New York City,Families with Children,2010,Dollars,53984.97659,3651000
New York City,Families without Children,2010,Dollars,71136.64326,3651000
New York City,All Households,2011,Dollars,56345.13313,3651000
New York City,Families,2011,Dollars,61891.81543,3651000
New York City,Families with Children,2011,Dollars,53530.2118,3651000
New York City,Families without Children,2011,Dollars,69465.10439,3651000
New York City,All Households,2012,Dollars,56776.2,3651000
New York City,Families,2012,Dollars,61623.28889,3651000
New York City,Families with Children,2012,Dollars,53029.04889,3651000
New York City,Families without Children,2012,Dollars,68602.20444,3651000
New York City,All Households,2013,Dollars,57407.18102,3651000
New York City,Families,2013,Dollars,63770.85547,3651000
New York City,Families with Children,2013,Dollars,55344.95036,3651000
New York City,Families without Children,2013,Dollars,70878.73577,3651000
New York City,All Households,2014,Dollars,57286.80448,3651000
New York City,Families,2014,Dollars,63483.97502,3651000
New York City,Families with Children,2014,Dollars,54957.32558,3651000
New York City,Families without Children,2014,Dollars,69387.12317,3651000
New York City,All Households,2015,Dollars,60162.30439,3651000
New York City,Families,2015,Dollars,66271.1221,3651000
New York City,Families with Children,2015,Dollars,55955.95013,3651000
New York City,Families without Children,2015,Dollars,73346.81857,3651000
New York City,All Households,2016,Dollars,62703.12394,3651000
New York City,Families,2016,Dollars,69717.48727,3651000
New York City,Families with Children,2016,Dollars,61765.60272,3651000
New York City,Families without Children,2016,Dollars,74608.5781,3651000
New York City,All Households,2017,Dollars,63492.91828,3651000
New York City,Families,2017,Dollars,71287.8241,3651000
New York City,Families with Children,2017,Dollars,60295.27562,3651000
New York City,Families without Children,2017,Dollars,79247.51385,3651000
New York City,All Households,2018,Dollars,64954.904,3651000
New York City,Families,2018,Dollars,73577.34451,3651000
New York City,Families with Children,2018,Dollars,65992.36614,3651000
New York City,Families without Children,2018,Dollars,78538.63304,3651000
New York City,All Households,2019,Dollars,69407,3651000
New York City,Families,2019,Dollars,78113,3651000
New York City,Families with Children,2019,Dollars,69028,3651000
New York City,Families without Children,2019,Dollars,84278,3651000
Manhattan,All Households,2018,Dollars,86607.21741,36061
Manhattan,Families,2018,Dollars,109440.5476,36061
Manhattan,Families with Children,2018,Dollars,116619.2969,36061
Manhattan,Families without Children,2018,Dollars,105701.0005,36061
Manhattan,All Households,2019,Dollars,93651,36061
Manhattan,Families,2019,Dollars,126690,36061
Manhattan,Families with Children,2019,Dollars,140841,36061
Manhattan,Families without Children,2019,Dollars,121669,36061
Manhattan,Families without Children,2016,Dollars,101474.9533,36061
Manhattan,All Households,2017,Dollars,88723.63296,36061
Manhattan,Families,2017,Dollars,105467.9751,36061
Manhattan,Families with Children,2017,Dollars,107915.7465,36061
Manhattan,Families without Children,2017,Dollars,103880.626,36061
Manhattan,Families with Children,2016,Dollars,117947.6273,36061
Manhattan,Families,2016,Dollars,105678.8837,36061
Manhattan,All Households,2016,Dollars,82628.64601,36061
